ID,Name,Year,Duration,Directors,Actors,Genres,Rating
1,Saving Private Ryan,1998,169,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore","Drama, War",8.6
2,The Truman Show,1998,103,Peter Weir,"Jim Carrey, Ed Harris, Laura Linney","Comedy, Drama",8.2
3,American History X,1998,119,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo","Crime, Drama",8.5
4,The Big Lebowski,1998,117,"Joel Coen, Ethan Coen","Jeff Bridges, John Goodman, Julianne Moore","Comedy, Crime",8.1
5,"Lock, Stock and Two Smoking Barrels",1998,107,Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran","Comedy, Crime",8.1
6,Armageddon,1998,151,Michael Bay,"Bruce Willis, Billy Bob Thornton, Ben Affleck","Action, Adventure, Sci-Fi",6.7
7,There's Something About Mary,1998,119,"Bobby Farrelly, Peter Farrelly","Cameron Diaz, Matt Dillon, Ben Stiller","Comedy, Romance",7.1
8,Mulan,1998,87,"Tony Bancroft, Barry Cook","Ming-Na Wen, Eddie Murphy, BD Wong","Animation, Adventure, Comedy",7.7
9,A Bug's Life,1998,95,"John Lasseter, Andrew Stanton","Kevin Spacey, Dave Foley, Julia Louis-Dreyfus","Animation, Adventure, Comedy",7.2
10,Blade,1998,120,Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson","Action, Horror, Sci-Fi",7.1
11,Rush Hour,1998,98,Brett Ratner,"Jackie Chan, Chris Tucker, Ken Leung","Action, Comedy, Crime",7.0
12,Fear and Loathing in Las Vegas,1998,118,Terry Gilliam,"Johnny Depp, Benicio Del Toro, Tobey Maguire","Adventure, Comedy, Drama",7.5
13,Meet Joe Black,1998,178,Martin Brest,"Brad Pitt, Anthony Hopkins, Claire Forlani","Drama, Fantasy, Romance",7.2
14,Enemy of the State,1998,132,Tony Scott,"Will Smith, Gene Hackman, Jon Voight","Action, Thriller",7.3
15,Shakespeare in Love,1998,123,John Madden,"Gwyneth Paltrow, Joseph Fiennes, Geoffrey Rush","Comedy, Drama, History",7.1
16,You've Got Mail,1998,119,Nora Ephron,"Tom Hanks, Meg Ryan, Greg Kinnear","Comedy, Drama, Romance",6.7
17,Dark City,1998,100,Alex Proyas,"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly","Fantasy, Mystery, Sci-Fi",7.6
18,Run Lola Run,1998,80,Tom Tykwer,"Franka Potente, Moritz Bleibtreu, Herbert Knaup","Action, Crime, Thriller",7.6
19,Godzilla,1998,139,Roland Emmerich,"Matthew Broderick, Jean Reno, Maria Pitillo","Action, Sci-Fi, Thriller",5.5
20,The Thin Red Line,1998,170,Terrence Malick,"Jim Caviezel, Sean Penn, Nick Nolte","Drama, History, War",7.6
21,The Mask of Zorro,1998,136,Martin Campbell,"Antonio Banderas, Anthony Hopkins, Catherine Zeta-Jones","Action, Adventure, Comedy",6.8
22,Rushmore,1998,93,Wes Anderson,"Jason Schwartzman, Bill Murray, Olivia Williams","Comedy, Drama, Romance",7.6
23,Ronin,1998,122,John Frankenheimer,"Robert De Niro, Jean Reno, Natascha McElhone","Action, Crime, Thriller",7.2
