ID,Name,Year,Duration,Directors,Actors,Genres,Rating
1,Dune: Part Two,2024,166.0,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson","Action, Adventure, Drama",8.5
2,Deadpool & Wolverine,2024,128.0,Shawn Levy,"Ryan Reynolds, Hugh Jackman, Emma Corrin","Action, Adventure, Comedy",7.5
3,The Substance,2024,141.0,Coralie Fargeat,"Demi Moore, Margaret Qualley, Dennis Quaid","Drama, Horror, Sci-Fi",7.2
4,Furiosa: A Mad Max Saga,2024,148.0,George Miller,"Anya Taylor-Joy, Chris Hemsworth, Tom Burke","Action, Adventure, Sci-Fi",7.5
5,Alien: Romulus,2024,119.0,Fede Alvarez,"Cailee Spaeny, David Jonsson, Archie Renaux","Horror, Sci-Fi, Thriller",7.1
6,Gladiator II,2024,148.0,Ridley Scott,"Paul Mescal, Denzel Washington, Pedro Pascal","Action, Adventure, Drama",6.5
7,Civil War,2024,109.0,Alex Garland,"Kirsten Dunst, Wagner Moura, Cailee Spaeny","Action, Thriller",7.0
8,The Fall Guy,2024,126.0,David Leitch,"Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson","Action, Comedy, Drama",6.8
9,Inside Out 2,2024,96.0,Kelsey Mann,"Amy Poehler, Maya Hawke, Kensington Tallman","Animation, Adventure, Comedy",7.5
10,Nosferatu,2024,132.0,Robert Eggers,"Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård","Fantasy, Horror, Mystery",7.2
11,Anora,2024,139.0,Sean Baker,"Mikey Madison, Paul Weissman, Yura Borisov","Comedy, Drama, Romance",7.5
12,Conclave,2024,120.0,Edward Berger,"Ralph Fiennes, Stanley Tucci, John Lithgow","Drama, Thriller",7.4
13,Longlegs,2024,101.0,Osgood Perkins,"Maika Monroe, Nicolas Cage, Blair Underwood","Crime, Horror, Thriller",6.6
14,The Wild Robot,2024,102.0,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor","Animation, Sci-Fi",8.2
15,Twisters,2024,122.0,Lee Isaac Chung,"Daisy Edgar-Jones, Glen Powell, Anthony Ramos","Action, Adventure, Thriller",6.5
16,Road House,2024,121.0,Doug Liman,"Jake Gyllenhaal, Daniela Melchior, Conor McGregor","Action, Drama, Thriller",6.2
17,Carry-On,2024,119.0,Jaume Collet-Serra,"Taron Egerton, Jason Bateman, Sofia Carson","Action, Crime, Thriller",6.5
18,Wicked,2024,160.0,Jon M. Chu,"Cynthia Erivo, Ariana Grande, Jeff Goldblum","Fantasy, Musical, Romance",7.5
19,Joker: Folie à Deux,2024,138.0,Todd Phillips,"Joaquin Phoenix, Lady Gaga, Brendan Gleeson","Drama, Musical, Thriller",5.2
20,The Beekeeper,2024,105.0,David Ayer,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi","Action, Crime, Thriller",6.3
21,Challengers,2024,131.0,Luca Guadagnino,"Mike Faist, Josh O'Connor, Zendaya","Comedy, Drama, Romance",7.0
22,Kingdom of the Planet of the Apes,2024,145.0,Wes Ball,"Owen Teague, Freya Allan, Kevin Durand","Action, Adventure, Drama",6.9
23,A Quiet Place: Day One,2024,99.0,Michael Sarnoski,"Lupita Nyong'o, Joseph Quinn, Alex Wolff","Drama, Horror, Sci-Fi",6.3
24,Beetlejuice Beetlejuice,2024,105.0,Tim Burton,"Michael Keaton, Winona Ryder, Catherine O'Hara","Comedy, Fantasy, Horror",6.6
25,Heretic,2024,111.0,"Scott Beck, Bryan Woods","Hugh Grant, Sophie Thatcher, Chloe East","Horror, Thriller",7.0
26,Trap,2024,105.0,M. Night Shyamalan,"Josh Hartnett, Ariel Donoghue, Saleka Shyamalan","Crime, Horror, Mystery",5.8
27,Red One,2024,123.0,Jake Kasdan,"Dwayne Johnson, Chris Evans, Lucy Liu","Action, Adventure, Comedy",6.3
28,The Ministry of Ungentlemanly Warfare,2024,122.0,Guy Ritchie,"Henry Cavill, Alan Ritchson, Alex Pettyfer","Action, Comedy, War",6.8
29,Venom: The Last Dance,2024,110.0,Kelly Marcel,"Tom Hardy, Chiwetel Ejiofor, Juno Temple","Action, Adventure, Sci-Fi",6.0
30,Godzilla x Kong: The New Empire,2024,115.0,Adam Wingard,"Rebecca Hall, Brian Tyree Henry, Dan Stevens","Action, Adventure, Fantasy",6.0
31,Smile 2,2024,127.0,Parker Finn,"Naomi Scott, Rosemarie DeWitt, Lukas Gage","Horror, Mystery, Thriller",6.7
32,Damsel,2024,110.0,Juan Carlos Fresnadillo,"Millie Bobby Brown, Ray Winstone, Angela Bassett","Action, Adventure, Fantasy",6.1
33,I'm Still Here,2024,137.0,Walter Salles,"Fernanda Torres, Fernanda Montenegro, Selton Mello","Biography, Drama, History",8.2
34,Blink Twice,2024,102.0,Zoë Kravitz,"Naomi Ackie, Channing Tatum, Alia Shawkat","Mystery, Thriller",6.5
35,Moana 2,2024,100.0,"David G. Derrick Jr., Jason Hand, Dana Ledoux Miller","Auli'i Cravalho, Dwayne Johnson, Hualalai Chung","Animation, Adventure, Comedy",6.6
36,Speak No Evil,2024,110.0,James Watkins,"James McAvoy, Mackenzie Davis, Scoot McNairy","Drama, Horror, Thriller",6.8
37,Madame Web,2024,116.0,S.J. Clarkson,"Dakota Johnson, Sydney Sweeney, Isabela Merced","Action, Thriller",4.0
38,Juror #2,2024,114.0,Clint Eastwood,"Nicholas Hoult, Toni Collette, J.K. Simmons","Crime, Drama, Mystery",7.0
39,Bad Boys: Ride or Die,2024,115.0,"Adil El Arbi, Bilall Fallah","Will Smith, Martin Lawrence, Vanessa Hudgens","Action, Adventure, Comedy",6.5
40,A Real Pain,2024,90.0,Jesse Eisenberg,"Kieran Culkin, Jesse Eisenberg, Olha Bosova","Comedy, Drama",7.1
41,Abigail,2024,109.0,"Matt Bettinelli-Olpin, Tyler Gillett","Melissa Barrera, Dan Stevens, Alisha Weir","Horror, Thriller",6.5
42,Ghostbusters: Frozen Empire,2024,115.0,Gil Kenan,"Paul Rudd, Carrie Coon, Finn Wolfhard","Adventure, Comedy, Fantasy",6.1
43,Argylle,2024,139.0,Matthew Vaughn,"Henry Cavill, Bryce Dallas Howard, Sam Rockwell","Action, Comedy, Thriller",5.6
44,Monkey Man,2024,121.0,Dev Patel,"Dev Patel, Sharlto Copley, Pitobash","Action, Crime, Thriller",6.8
45,Emilia Pérez,2024,132.0,Jacques Audiard,"Zoe Saldaña, Karla Sofía Gascón, Selena Gomez","Crime, Drama, Musical",5.4
46,Rebel Ridge,2024,131.0,Jeremy Saulnier,"Aaron Pierre, Don Johnson, AnnaSophia Robb","Action, Crime, Drama",6.8
47,The Brutalist,2024,216.0,Brady Corbet,"Adrien Brody, Felicity Jones, Guy Pearce",Drama,7.4
48,It Ends with Us,2024,130.0,Justin Baldoni,"Blake Lively, Justin Baldoni, Jenny Slate","Drama, Romance",6.3
49,A Complete Unknown,2024,141.0,James Mangold,"Timothée Chalamet, Edward Norton, Elle Fanning","Biography, Drama, Music",7.4
50,Wolfs,2024,108.0,Jon Watts,"George Clooney, Brad Pitt, Amy Ryan","Crime, Thriller",6.5
51,Beverly Hills Cop: Axel F,2024,118.0,Mark Molloy,"Eddie Murphy, Joseph Gordon-Levitt, Taylour Paige","Action, Comedy, Crime",6.4
52,Flow,2024,85.0,Gints Zilbalodis,,"Animation, Adventure, Family",7.9
53,Bhool Bhulaiyaa 3,2024,158.0,Anees Bazmee,"Kartik Aaryan, Vidya Balan, Madhuri Dixit","Comedy, Fantasy, Horror",4.7
54,Singham Again,2024,144.0,Rohit Shetty,"Ajay Devgn, Kareena Kapoor, Deepika Padukone","Action, Crime, Drama",4.6
55,The Idea of You,2024,115.0,Michael Showalter,"Anne Hathaway, Nicholas Galitzine, Ella Rubin","Comedy, Drama, Romance",6.3
56,MaXXXine,2024,103.0,Ti West,"Charley Rowan McCain, Simon Prast, Mia Goth","Crime, Horror",6.2
57,Kung Fu Panda 4,2024,94.0,"Mike Mitchell, Stephanie Stine","Jack Black, Awkwafina, Viola Davis","Animation, Action, Adventure",6.3
58,Maharaja,2024,141.0,Nithilan Saminathan,"Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas","Action, Crime, Drama",8.4
59,Do Patti,2024,126.0,Shashanka Chaturvedi,"Kajol, Kriti Sanon, Shaheer Sheikh","Crime, Drama, Mystery",6.3
60,Mufasa: The Lion King,2024,118.0,Barry Jenkins,"Aaron Pierre, Kelvin Harrison Jr., Tiffany Boone","Animation, Adventure, Drama",6.6
61,Kalki 2898 AD,2024,180.0,Nag Ashwin,"Prabhas, Amitabh Bachchan, Kamal Haasan","Action, Adventure, Drama",7.0
62,Despicable Me 4,2024,94.0,"Chris Renaud, Patrick Delage","Steve Carell, Kristen Wiig, Pierre Coffin","Animation, Adventure, Comedy",6.2
63,The First Omen,2024,119.0,Arkasha Stevenson,"Nell Tiger Free, Ralph Ineson, Sonia Braga",Horror,6.5
64,Sonic the Hedgehog 3,2024,110.0,Jeff Fowler,"Jim Carrey, Ben Schwartz, Keanu Reeves","Action, Adventure, Comedy",6.9
65,Babygirl,2024,114.0,Halina Reijn,"Nicole Kidman, Harris Dickinson, Antonio Banderas","Drama, Romance, Thriller",5.9
66,Kraven the Hunter,2024,127.0,J.C. Chandor,"Aaron Taylor-Johnson, Ariana DeBose, Fred Hechinger","Action, Adventure, Thriller",5.5
67,Kinds of Kindness,2024,164.0,Yorgos Lanthimos,"Emma Stone, Jesse Plemons, Willem Dafoe","Comedy, Drama, Horror",6.5
68,Rebel Moon - Part Two: The Scargiver,2024,122.0,Zack Snyder,"Sofia Boutella, Djimon Hounsou, Ed Skrein","Action, Adventure, Drama",5.3
69,IF,2024,104.0,John Krasinski,"Cailey Fleming, Ryan Reynolds, John Krasinski","Animation, Comedy, Drama",6.4
70,The Apprentice,2024,122.0,Ali Abbasi,"Sebastian Stan, Jeremy Strong, Martin Donovan","Biography, Drama, History",7.1
71,The Watchers,2024,102.0,Ishana Shyamalan,"Dakota Fanning, Georgina Campbell, Olwen Fouéré","Fantasy, Horror, Mystery",5.7
72,Love Lies Bleeding,2024,104.0,Rose Glass,"Anna Baryshnikov, Kristen Stewart, Dave Franco","Action, Adventure, Crime",6.6
73,Pushpa: The Rule - Part 2,2024,201.0,Sukumar,"Allu Arjun, Rashmika Mandanna, Fahadh Faasil","Action, Crime, Drama",6.1
74,Ricky Stanicky,2024,113.0,Peter Farrelly,"Zac Efron, John Cena, Andrew Santino",Comedy,6.2
75,Atlas,2024,118.0,Brad Peyton,"Jennifer Lopez, Simu Liu, Sterling K. Brown","Action, Adventure, Drama",5.6
76,Shaitaan,2024,132.0,Vikas Bahl,"Ajay Devgn, Madhavan, Jyotika","Drama, Horror, Thriller",6.5
77,We Live in Time,2024,108.0,John Crowley,"Andrew Garfield, Florence Pugh, Grace Delaney","Drama, Romance",7.0
78,Teri Baaton Mein Aisa Uljha Jiya,2024,141.0,"Amit Joshi, Aradhana Sah","Shahid Kapoor, Kriti Sanon, Dharmendra","Comedy, Drama, Romance",6.2
79,The Union,2024,107.0,Julian Farino,"Mark Wahlberg, Halle Berry, J.K. Simmons","Action, Comedy, Thriller",5.4
80,Immaculate,2024,89.0,Michael Mohan,"Sydney Sweeney, Álvaro Morte, Simona Tabasco","Horror, Thriller",5.8
81,Transformers One,2024,104.0,Josh Cooley,"Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson","Animation, Action, Adventure",7.6
