ID,Name,Year,Duration,Directors,Actors,Genres,Rating
1,Avengers: Infinity War,2018,149,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","Action, Adventure, Sci-Fi",8.4
2,Black Panther,2018,134,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","Action, Adventure, Sci-Fi",7.3
3,Spider-Man: Into the Spider-Verse,2018,117,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld","Animation, Action, Adventure",8.4
4,Deadpool 2,2018,119,David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin","Action, Adventure, Comedy",7.6
5,Green Book,2018,130,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini","Biography, Comedy, Drama",8.2
6,A Quiet Place,2018,90,John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds","Drama, Horror, Sci-Fi",7.5
7,Bohemian Rhapsody,2018,134,Bryan Singer,"Rami Malek, Lucy Boynton, Gwilym Lee","Biography, Drama, Music",7.9
8,Venom,2018,112,Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed","Action, Adventure, Sci-Fi",6.6
9,Aquaman,2018,143,James Wan,"Jason Momoa, Amber Heard, Willem Dafoe","Action, Adventure, Fantasy",6.8
10,Ready Player One,2018,140,Steven Spielberg,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn","Action, Adventure, Sci-Fi",7.4
11,Ant-Man and the Wasp,2018,118,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Peña","Action, Adventure, Comedy",7.0
12,A Star Is Born,2018,136,Bradley Cooper,"Lady Gaga, Bradley Cooper, Sam Elliott","Drama, Music, Romance",7.6
13,Hereditary,2018,127,Ari Aster,"Toni Collette, Milly Shapiro, Gabriel Byrne","Drama, Horror, Mystery",7.3
14,Bird Box,2018,124,Susanne Bier,"Sandra Bullock, Trevante Rhodes, John Malkovich","Horror, Mystery, Sci-Fi",6.6
15,Mission: Impossible - Fallout,2018,147,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames","Action, Adventure, Thriller",7.7
16,Solo: A Star Wars Story,2018,135,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke","Action, Adventure, Sci-Fi",6.9
