ID,Name,Year,Duration,Directors,Actors,Genres,Rating
1,Eternal Sunshine of the Spotless Mind,2004,108.0,Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson","Drama, Romance, Sci-Fi",8.3
2,The Incredibles,2004,115.0,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter","Animation, Action, Adventure",8.0
3,Kill Bill: Vol. 2,2004,137.0,Quentin Tarantino,"Uma Thurman, David Carradine, Michael Madsen","Action, Crime, Thriller",8.0
4,Spider-Man 2,2004,127.0,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Alfred Molina","Action, Adventure, Sci-Fi",7.5
5,Million Dollar Baby,2004,132.0,Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman","Drama, Sport",8.1
6,Harry Potter and the Prisoner of Azkaban,2004,142.0,Alfonso Cuarón,"Daniel Radcliffe, Emma Watson, Rupert Grint","Adventure, Family, Fantasy",7.9
7,The Notebook,2004,123.0,Nick Cassavetes,"Gena Rowlands, James Garner, Rachel McAdams","Drama, Romance",7.8
8,Shaun of the Dead,2004,99.0,Edgar Wright,"Simon Pegg, Nick Frost, Kate Ashfield","Comedy, Horror",7.9
9,"I, Robot",2004,115.0,Alex Proyas,"Will Smith, Bridget Moynahan, Bruce Greenwood","Action, Mystery, Sci-Fi",7.1
10,Troy,2004,163.0,Wolfgang Petersen,"Brad Pitt, Eric Bana, Orlando Bloom","Action, Adventure, Drama",7.3
11,The Butterfly Effect,2004,113.0,"Eric Bress, J. Mackye Gruber","Ashton Kutcher, Amy Smart, Melora Walters","Drama, Sci-Fi, Thriller",7.6
12,Shrek 2,2004,93.0,"Andrew Adamson, Kelly Asbury, Conrad Vernon","Mike Myers, Eddie Murphy, Cameron Diaz","Animation, Adventure, Comedy",7.4
13,The Terminal,2004,128.0,Steven Spielberg,"Tom Hanks, Catherine Zeta-Jones, Chi McBride","Comedy, Drama, Romance",7.4
14,The Bourne Supremacy,2004,108.0,Paul Greengrass,"Matt Damon, Franka Potente, Joan Allen","Action, Thriller",7.7
15,The Day After Tomorrow,2004,124.0,Roland Emmerich,"Dennis Quaid, Jake Gyllenhaal, Emmy Rossum","Action, Adventure, Sci-Fi",6.5
16,Saw,2004,103.0,James Wan,"Cary Elwes, Leigh Whannell, Danny Glover","Horror, Mystery, Thriller",7.6
17,Howl's Moving Castle,2004,119.0,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin","Animation, Adventure, Family",8.2
18,Mean Girls,2004,97.0,Mark Waters,"Lindsay Lohan, Jonathan Bennett, Rachel McAdams",Comedy,7.1
19,Crash,2004,112.0,Paul Haggis,"Don Cheadle, Sandra Bullock, Thandiwe Newton","Crime, Drama, Thriller",7.7
20,Collateral,2004,120.0,Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith","Action, Crime, Drama",7.5
21,The Machinist,2004,101.0,Brad Anderson,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón","Drama, Thriller",7.6
22,Ocean's Twelve,2004,125.0,Steven Soderbergh,"George Clooney, Brad Pitt, Julia Roberts","Crime, Thriller",6.5
23,Man on Fire,2004,146.0,Tony Scott,"Denzel Washington, Christopher Walken, Dakota Fanning","Action, Crime, Drama",7.7
24,50 First Dates,2004,99.0,Peter Segal,"Adam Sandler, Drew Barrymore, Rob Schneider","Comedy, Drama, Romance",6.8
25,The Aviator,2004,170.0,Martin Scorsese,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale","Biography, Drama",7.5
