ID,Name,Year,Duration,Directors,Actors,Genres,Rating
1,Dune: Part One,2021,155.0,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Zendaya","Action, Adventure, Drama",8.0
2,Spider-Man: No Way Home,2021,148.0,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch","Action, Adventure, Fantasy",8.2
3,Don't Look Up,2021,138.0,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep","Comedy, Drama, Sci-Fi",7.2
4,No Time to Die,2021,163.0,Cary Joji Fukunaga,"Daniel Craig, Ana de Armas, Rami Malek","Action, Adventure, Thriller",7.3
5,Shang-Chi and the Legend of the Ten Rings,2021,132.0,Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Leung Chiu-wai","Action, Adventure, Fantasy",7.3
6,Free Guy,2021,115.0,Shawn Levy,"Ryan Reynolds, Jodie Comer, Taika Waititi","Action, Adventure, Comedy",7.1
7,Zack Snyder's Justice League,2021,242.0,Zack Snyder,"Henry Cavill, Ben Affleck, Gal Gadot","Action, Adventure, Fantasy",7.9
8,Black Widow,2021,134.0,Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour","Action, Adventure, Sci-Fi",6.6
9,The Suicide Squad,2021,132.0,James Gunn,"Margot Robbie, Idris Elba, John Cena","Action, Adventure, Comedy",7.2
10,Eternals,2021,156.0,Chloé Zhao,"Gemma Chan, Richard Madden, Angelina Jolie","Action, Adventure, Fantasy",6.2
11,Nobody,2021,92.0,Ilya Naishuller,"Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen","Action, Crime, Drama",7.4
12,Red Notice,2021,118.0,Rawson Marshall Thurber,"Dwayne Johnson, Ryan Reynolds, Gal Gadot","Action, Comedy, Thriller",6.3
13,The Matrix Resurrections,2021,148.0,Lana Wachowski,"Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II","Action, Sci-Fi",5.6
14,Venom: Let There Be Carnage,2021,97.0,Andy Serkis,"Tom Hardy, Woody Harrelson, Michelle Williams","Action, Sci-Fi, Thriller",5.9
15,Encanto,2021,102.0,"Jared Bush, Byron Howard, Charise Castro Smith","Stephanie Beatriz, María Cecilia Botero, John Leguizamo","Animation, Comedy, Family",7.2
16,Cruella,2021,134.0,Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry","Adventure, Comedy, Crime",7.3
17,Godzilla vs. Kong,2021,113.0,Adam Wingard,"Alexander Skarsgård, Millie Bobby Brown, Rebecca Hall","Action, Sci-Fi, Thriller",6.3
18,The Tomorrow War,2021,138.0,Chris McKay,"Chris Pratt, Yvonne Strahovski, J.K. Simmons","Action, Adventure, Drama",6.6
19,Ghostbusters: Afterlife,2021,124.0,Jason Reitman,"Carrie Coon, Paul Rudd, Finn Wolfhard","Adventure, Comedy, Fantasy",7.0
20,The Black Phone,2021,103.0,Scott Derrickson,"Mason Thames, Madeleine McGraw, Ethan Hawke","Horror, Mystery, Thriller",6.9
21,Jai Bhim,2021,164.0,T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K.","Crime, Drama",8.6
22,Wrath of Man,2021,119.0,Guy Ritchie,"Jason Statham, Holt McCallany, Josh Hartnett","Action, Crime, Thriller",7.1
23,Jungle Cruise,2021,127.0,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramírez","Action, Adventure, Comedy",6.6
24,Luca,2021,95.0,Enrico Casarosa,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman","Animation, Adventure, Comedy",7.4
25,The Power of the Dog,2021,126.0,Jane Campion,"Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons","Drama, Western",6.8
26,Mortal Kombat,2021,110.0,Simon McQuoid,"Lewis Tan, Jessica McNamee, Josh Lawson","Action, Adventure, Fantasy",6.1
27,The Last Duel,2021,152.0,Ridley Scott,"Matt Damon, Adam Driver, Jodie Comer","Drama, History, Thriller",7.3
28,Army of the Dead,2021,148.0,Zack Snyder,"Dave Bautista, Ella Purnell, Ana de la Reguera","Action, Adventure, Crime",5.8
29,Last Night in Soho,2021,116.0,Edgar Wright,"Thomasin McKenzie, Anya Taylor-Joy, Matt Smith","Drama, Horror, Mystery",7.0
30,The King's Man,2021,131.0,Matthew Vaughn,"Ralph Fiennes, Gemma Arterton, Rhys Ifans","Action, Adventure, Thriller",6.3
31,Raya and the Last Dragon,2021,107.0,"Don Hall, Carlos López Estrada, Paul Briggs","Kelly Marie Tran, Awkwafina, Gemma Chan","Animation, Action, Adventure",7.3
32,Radhe,2021,109.0,Prabhu Deva,"Salman Khan, Disha Patani, Randeep Hooda","Action, Thriller",1.8
33,CODA,2021,111.0,Sian Heder,"Emilia Jones, Marlee Matlin, Troy Kotsur","Comedy, Drama, Music",8.0
34,Old,2021,108.0,M. Night Shyamalan,"Gael García Bernal, Vicky Krieps, Rufus Sewell","Drama, Horror, Mystery",5.8
35,Nightmare Alley,2021,150.0,Guillermo del Toro,"Bradley Cooper, Cate Blanchett, Toni Collette","Crime, Drama, Thriller",7.0
36,F9: The Fast Saga,2021,143.0,Justin Lin,"Vin Diesel, Michelle Rodriguez, Jordana Brewster","Action, Crime, Thriller",5.2
37,House of Gucci,2021,158.0,Ridley Scott,"Lady Gaga, Adam Driver, Al Pacino","Biography, Crime, Drama",6.6
38,The Guilty,2021,90.0,Antoine Fuqua,"Jake Gyllenhaal, Riley Keough, Peter Sarsgaard","Crime, Drama, Thriller",6.3
39,The French Dispatch,2021,107.0,Wes Anderson,"Benicio Del Toro, Adrien Brody, Tilda Swinton","Comedy, Drama, Romance",7.1
40,The Conjuring: The Devil Made Me Do It,2021,112.0,Michael Chaves,"Patrick Wilson, Vera Farmiga, Ruairi O'Connor","Horror, Mystery, Thriller",6.3
41,Licorice Pizza,2021,133.0,Paul Thomas Anderson,"Alana Haim, Cooper Hoffman, Sean Penn","Comedy, Drama, Romance",7.1
42,King Richard,2021,144.0,Reinaldo Marcus Green,"Will Smith, Aunjanue Ellis-Taylor, Jon Bernthal","Biography, Drama, Sport",7.5
43,The Mitchells vs. the Machines,2021,114.0,"Michael Rianda, Jeff Rowe","Abbi Jacobson, Danny McBride, Maya Rudolph","Animation, Adventure, Comedy",7.6
44,The Little Things,2021,128.0,John Lee Hancock,"Denzel Washington, Rami Malek, Jared Leto","Crime, Drama, Mystery",6.3
45,Shershaah,2021,135.0,Vishnuvardhan,"Sidharth Malhotra, Kiara Advani, Shiv Panditt","Action, Biography, Drama",8.3
46,The Green Knight,2021,130.0,David Lowery,"Dev Patel, Alicia Vikander, Joel Edgerton","Adventure, Drama, Fantasy",6.6
47,"tick, tick... BOOM!",2021,115.0,Lin-Manuel Miranda,"Andrew Garfield, Alexandra Shipp, Robin de Jesus","Biography, Comedy, Drama",7.5
48,The Unforgivable,2021,112.0,Nora Fingscheidt,"Sandra Bullock, Viola Davis, Vincent D'Onofrio","Crime, Drama, Mystery",7.1
49,Malignant,2021,111.0,James Wan,"Annabelle Wallis, Maddie Hasson, George Young","Crime, Horror, Mystery",6.2
50,Hitman's Wife's Bodyguard,2021,100.0,Patrick Hughes,"Ryan Reynolds, Samuel L. Jackson, Salma Hayek","Action, Comedy, Crime",6.1
51,The Worst Person in the World,2021,128.0,Joachim Trier,"Renate Reinsve, Anders Danielsen Lie, Herbert Nordrum","Comedy, Drama, Romance",7.7
52,Finch,2021,115.0,Miguel Sapochnik,"Tom Hanks, Caleb Landry Jones, Marie Wagenman","Adventure, Drama, Sci-Fi",6.9
53,Halloween Kills,2021,105.0,David Gordon Green,"Jamie Lee Curtis, Judy Greer, Andi Matichak","Action, Drama, Horror",5.5
54,Fear Street: Part One - 1994,2021,107.0,Leigh Janiak,"Kiana Madeira, Olivia Scott Welch, Benjamin Flores Jr.","Drama, Horror, Mystery",6.2
55,West Side Story,2021,156.0,Steven Spielberg,"Ansel Elgort, Rachel Zegler, Ariana DeBose","Crime, Drama, Musical",7.1
56,Pig,2021,92.0,Michael Sarnoski,"Nicolas Cage, Alex Wolff, Adam Arkin","Drama, Mystery",6.9
