ID,Name,Year,Duration,Directors,Actors,Genres,Rating
1,The Batman,2022,176.0,Matt Reeves,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright","Action, Crime, Drama",7.8
2,Top Gun: Maverick,2022,130.0,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller","Action, Drama",8.2
3,Everything Everywhere All at Once,2022,139.0,"Daniel Kwan, Daniel Scheinert","Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis","Action, Adventure, Comedy",7.8
4,The Kashmir Files,2022,170.0,Vivek Agnihotri,"Mithun Chakraborty, Anupam Kher, Darshan Kumaar",Drama,8.5
5,Avatar: The Way of Water,2022,192.0,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver","Action, Adventure, Fantasy",7.5
6,Doctor Strange in the Multiverse of Madness,2022,126.0,Sam Raimi,"Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor","Action, Adventure, Fantasy",6.9
7,Bullet Train,2022,127.0,David Leitch,"Brad Pitt, Joey King, Aaron Taylor-Johnson","Action, Comedy, Thriller",7.3
8,Glass Onion,2022,139.0,Rian Johnson,"Daniel Craig, Edward Norton, Kate Hudson","Comedy, Crime, Drama",7.1
9,The Menu,2022,107.0,Mark Mylod,"Ralph Fiennes, Anya Taylor-Joy, Nicholas Hoult","Comedy, Horror, Thriller",7.2
10,Thor: Love and Thunder,2022,118.0,Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale","Action, Adventure, Comedy",6.2
11,Black Panther: Wakanda Forever,2022,161.0,Ryan Coogler,"Letitia Wright, Lupita Nyong'o, Danai Gurira","Action, Adventure, Drama",6.6
12,Nope,2022,130.0,Jordan Peele,"Daniel Kaluuya, Keke Palmer, Brandon Perea","Horror, Mystery, Sci-Fi",6.8
13,Black Adam,2022,125.0,Jaume Collet-Serra,"Dwayne Johnson, Aldis Hodge, Pierce Brosnan","Action, Adventure, Fantasy",6.2
14,Uncharted,2022,116.0,Ruben Fleischer,"Tom Holland, Mark Wahlberg, Antonio Banderas","Action, Adventure",6.3
15,The Northman,2022,137.0,Robert Eggers,"Alexander Skarsgård, Nicole Kidman, Claes Bang","Action, Adventure, Drama",7.0
16,The Banshees of Inisherin,2022,114.0,Martin McDonagh,"Colin Farrell, Brendan Gleeson, Kerry Condon","Comedy, Drama",7.7
17,All Quiet on the Western Front,2022,148.0,Edward Berger,"Felix Kammerer, Albrecht Schuch, Aaron Hilmer","Drama, History, War",7.8
18,The Gray Man,2022,122.0,"Joe Russo, Anthony Russo","Ryan Gosling, Chris Evans, Ana de Armas","Action, Mystery, Thriller",6.5
19,Elvis,2022,159.0,Baz Luhrmann,"Tom Hanks, Austin Butler, Olivia DeJonge","Biography, Drama, Music",7.3
20,Prey,2022,100.0,Dan Trachtenberg,"Amber Midthunder, Dakota Beavers, Dane DiLiegro","Action, Adventure, Horror",7.1
21,The Whale,2022,117.0,Darren Aronofsky,"Brendan Fraser, Sadie Sink, Ty Simpkins",Drama,7.6
22,The Adam Project,2022,106.0,Shawn Levy,"Ryan Reynolds, Walker Scobell, Mark Ruffalo","Action, Adventure, Comedy",6.7
23,Jurassic World: Dominion,2022,147.0,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Laura Dern","Action, Adventure, Sci-Fi",5.6
24,Barbarian,2022,102.0,Zach Cregger,"Georgina Campbell, Bill Skarsgård, Justin Long","Horror, Mystery, Thriller",7.0
25,Smile,2022,115.0,Parker Finn,"Sosie Bacon, Jessie T. Usher, Kyle Gallner","Horror, Mystery, Thriller",6.5
26,X,2022,105.0,Ti West,"Mia Goth, Jenna Ortega, Brittany Snow","Horror, Mystery, Thriller",6.5
27,Puss in Boots: The Last Wish,2022,102.0,"Joel Crawford, Januel Mercado","Antonio Banderas, Salma Hayek, Harvey Guillén","Animation, Action, Adventure",7.8
28,Triangle of Sadness,2022,147.0,Ruben Östlund,"Thobias Thorwid, Harris Dickinson, Charlbi Dean","Comedy, Drama",7.3
29,Death on the Nile,2022,127.0,Kenneth Branagh,"Tom Bateman, Annette Bening, Kenneth Branagh","Crime, Drama, Mystery",6.3
30,Babylon,2022,189.0,Damien Chazelle,"Brad Pitt, Margot Robbie, Jean Smart","Comedy, Drama",7.1
31,A Man Called Otto,2022,126.0,Marc Forster,"Tom Hanks, Mariana Treviño, Rachel Keller","Comedy, Drama",7.5
32,Talk to Me,2022,95.0,"Danny Philippou, Michael Philippou","Ari McCarthy, Hamish Phillips, Kit Erhart-Bruce","Horror, Thriller",7.1
33,Fantastic Beasts: The Secrets of Dumbledore,2022,142.0,David Yates,"Eddie Redmayne, Jude Law, Ezra Miller","Adventure, Fantasy",6.2
34,Laal Singh Chaddha,2022,159.0,Advait Chandan,"Aamir Khan, Ahmad Ibn Umar, Kareena Kapoor","Comedy, Drama, Romance",5.6
35,RRR,2022,187.0,S.S. Rajamouli,"N.T. Rama Rao Jr., Ram Charan, Ajay Devgn","Action, Adventure, Drama",7.8
36,Scream,2022,114.0,"Matt Bettinelli-Olpin, Tyler Gillett","Neve Campbell, Courteney Cox, David Arquette","Horror, Mystery, Thriller",6.3
37,The Unbearable Weight of Massive Talent,2022,107.0,Tom Gormican,"Nicolas Cage, Pedro Pascal, Tiffany Haddish","Action, Comedy, Crime",7.0
38,The Lost City,2022,112.0,"Aaron Nee, Adam Nee","Sandra Bullock, Channing Tatum, Daniel Radcliffe","Action, Adventure, Comedy",6.1
39,Don't Worry Darling,2022,123.0,Olivia Wilde,"Florence Pugh, Harry Styles, Chris Pine","Drama, Mystery, Thriller",6.3
40,Turning Red,2022,100.0,Domee Shi,"Rosalie Chiang, Sandra Oh, Ava Morse","Animation, Adventure, Comedy",6.9
41,M3GAN,2022,102.0,Gerard Johnstone,"Allison Williams, Violet McGraw, Ronny Chieng","Horror, Sci-Fi, Thriller",6.3
42,Morbius,2022,104.0,Daniel Espinosa,"Jared Leto, Matt Smith, Adria Arjona","Action, Adventure, Horror",5.1
43,K.G.F: Chapter 2,2022,166.0,Prashanth Neel,"Yash, Sanjay Dutt, Raveena Tandon","Action, Crime, Drama",8.2
44,Hustle,2022,117.0,Jeremiah Zagar,"Adam Sandler, Queen Latifah, Juancho Hernangomez","Comedy, Drama, Sport",7.3
45,Where the Crawdads Sing,2022,125.0,Olivia Newman,"Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson","Drama, Mystery, Romance",7.2
46,Pearl,2022,103.0,Ti West,"Mia Goth, David Corenswet, Tandi Wright","Drama, Horror, Thriller",7.0
47,The Pale Blue Eye,2022,128.0,Scott Cooper,"Christian Bale, Harry Melling, Simon McBurney","Crime, Horror, Mystery",6.6
48,Lightyear,2022,105.0,Angus MacLane,"Chris Evans, Keke Palmer, Peter Sohn","Animation, Action, Adventure",6.1
49,The Fabelmans,2022,151.0,Steven Spielberg,"Michelle Williams, Gabriel LaBelle, Paul Dano",Drama,7.5
50,Fall,2022,107.0,Scott Mann,"Grace Caroline Currey, Virginia Gardner, Mason Gooding","Action, Thriller",6.4
51,Guillermo del Toro's Pinocchio,2022,117.0,"Guillermo del Toro, Mark Gustafson","Ewan McGregor, David Bradley, Gregory Mann","Animation, Adventure, Drama",7.6
52,Aftersun,2022,102.0,Charlotte Wells,"Paul Mescal, Frankie Corio, Celia Rowlson-Hall",Drama,7.6
53,Violent Night,2022,112.0,Tommy Wirkola,"David Harbour, John Leguizamo, Beverly D'Angelo","Action, Comedy, Thriller",6.7
54,Brahmastra Part One: Shiva,2022,167.0,Ayan Mukerji,"Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt","Action, Adventure, Fantasy",5.6
55,Enola Holmes 2,2022,129.0,Harry Bradbeer,"Millie Bobby Brown, Henry Cavill, David Thewlis","Action, Adventure, Crime",6.8
56,Ambulance,2022,136.0,Michael Bay,"Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González","Action, Crime, Drama",6.1
57,Kantara,2022,148.0,Rishab Shetty,"Rishab Shetty, Kishore Kumar G., Achyuth Kumar","Action, Adventure, Drama",8.2
58,Sonic the Hedgehog 2,2022,122.0,Jeff Fowler,"James Marsden, Jim Carrey, Ben Schwartz","Action, Adventure, Comedy",6.5
59,Moonfall,2022,130.0,Roland Emmerich,"Halle Berry, Patrick Wilson, John Bradley","Action, Adventure, Sci-Fi",5.2
60,Tár,2022,158.0,Todd Field,"Cate Blanchett, Noémie Merlant, Nina Hoss","Drama, Music",7.4
61,Amsterdam,2022,134.0,David O. Russell,"Christian Bale, Margot Robbie, John David Washington","Comedy, Drama, History",6.1
62,Minions: The Rise of Gru,2022,87.0,"Kyle Balda, Brad Ableson, Jonathan del Val","Steve Carell, Pierre Coffin, Alan Arkin","Animation, Adventure, Comedy",6.5
63,Sisu,2022,91.0,Jalmari Helander,"Jorma Tommila, Aksel Hennie, Jack Doolan","Action, War",6.9
64,Day Shift,2022,113.0,J.J. Perry,"Jamie Foxx, Dave Franco, Natasha Liu Bordizzo","Action, Comedy, Fantasy",6.1
65,Fresh,2022,114.0,Mimi Cave,"Daisy Edgar-Jones, Sebastian Stan, Jojo T. Gibbs","Horror, Thriller",6.7
66,The Good Nurse,2022,121.0,Tobias Lindholm,"Eddie Redmayne, Denise Pillott, Dartel McRae","Biography, Crime, Drama",6.8
67,Bodies Bodies Bodies,2022,94.0,Halina Reijn,"Amandla Stenberg, Maria Bakalova, Myha'la","Comedy, Horror, Mystery",6.2
68,The Outfit,2022,105.0,Graham Moore,"Mark Rylance, Zoey Deutch, John Gumley-Mason","Crime, Drama, Mystery",7.2
