ID,Name,Year,Duration,Directors,Actors,Genres,Rating
1,The Silence of the Lambs,1991,118,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn","Crime, Drama, Horror",8.6
2,Terminator 2: Judgment Day,1991,137,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong","Action, Adventure, Sci-Fi",8.6
3,Beauty and the Beast,1991,84,"Gary Trousdale, Kirk Wise","Paige O'Hara, Robby Benson, Jesse Corti","Animation, Family, Fantasy",8.0
4,Hook,1991,142,Steven Spielberg,"Dustin Hoffman, Robin Williams, Julia Roberts","Adventure, Comedy, Family",6.8
5,Cape Fear,1991,128,Martin Scorsese,"Robert De Niro, Nick Nolte, Jessica Lange","Crime, Drama, Thriller",7.3
6,Robin Hood: Prince of Thieves,1991,143,Kevin Reynolds,"Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio","Action, Adventure, Drama",6.9
7,Point Break,1991,122,Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey","Action, Crime, Thriller",7.3
8,The Addams Family,1991,99,Barry Sonnenfeld,"Anjelica Huston, Raul Julia, Christopher Lloyd","Comedy, Fantasy",7.0
9,Thelma & Louise,1991,130,Ridley Scott,"Susan Sarandon, Geena Davis, Harvey Keitel","Adventure, Crime, Drama",7.6
10,JFK,1991,189,Oliver Stone,"Kevin Costner, Gary Oldman, Jack Lemmon","Drama, History, Thriller",8.0
11,Boyz n the Hood,1991,112,John Singleton,"Cuba Gooding Jr., Laurence Fishburne, Hudhail Al-Amir","Crime, Drama",7.8
12,Barton Fink,1991,116,"Joel Coen, Ethan Coen","John Turturro, John Goodman, Judy Davis","Comedy, Drama, Thriller",7.6
13,The Naked Gun 2½: The Smell of Fear,1991,85,David Zucker,"Leslie Nielsen, Priscilla Presley, George Kennedy","Comedy, Crime",6.9
14,Hot Shots!,1991,85,Jim Abrahams,"Charlie Sheen, Cary Elwes, Valeria Golino","Action, Comedy",6.7
15,The Last Boy Scout,1991,105,Tony Scott,"Bruce Willis, Damon Wayans, Chelsea Field","Action, Comedy, Crime",7.0
16,The Doors,1991,140,Oliver Stone,"Val Kilmer, Meg Ryan, Kyle MacLachlan","Biography, Drama, Music",7.2
17,The Fisher King,1991,137,Terry Gilliam,"Jeff Bridges, Robin Williams, Adam Bryant","Comedy, Drama, Fantasy",7.5
18,My Girl,1991,102,Howard Zieff,"Anna Chlumsky, Macaulay Culkin, Dan Aykroyd","Comedy, Drama, Family",6.9
19,Delicatessen,1991,99,"Marc Caro, Jean-Pierre Jeunet","Marie-Laure Dougnac, Dominique Pinon, Pascal Benezech","Comedy, Crime",7.5
20,Backdraft,1991,137,Ron Howard,"Kurt Russell, William Baldwin, Robert De Niro","Action, Drama, Mystery",6.7
