ID,Name,Year,Duration,Directors,Actors,Genres,Rating
1,Se7en,1995,127,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey","Crime, Drama, Mystery",8.6
2,The Usual Suspects,1995,106,Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri","Crime, Drama, Mystery",8.5
3,Braveheart,1995,178,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan","Biography, Drama, War",8.3
4,Toy Story,1995,81,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles","Animation, Adventure, Comedy",8.3
5,Heat,1995,170,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer","Action, Crime, Drama",8.3
6,12 Monkeys,1995,129,Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt","Mystery, Sci-Fi, Thriller",8.0
7,Casino,1995,178,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci","Crime, Drama",8.2
8,Die Hard with a Vengeance,1995,128,John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson","Action, Adventure, Thriller",7.6
9,Jumanji,1995,104,Joe Johnston,"Robin Williams, Kirsten Dunst, Bonnie Hunt","Adventure, Comedy, Family",7.1
10,Before Sunrise,1995,101,Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert","Comedy, Drama, Romance",8.1
11,Apollo 13,1995,140,Ron Howard,"Tom Hanks, Bill Paxton, Kevin Bacon","Adventure, Drama, History",7.7
12,Bad Boys,1995,119,Michael Bay,"Will Smith, Martin Lawrence, Lisa Boyle","Action, Comedy, Crime",6.8
13,GoldenEye,1995,130,Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco","Action, Adventure, Thriller",7.2
14,Batman Forever,1995,121,Joel Schumacher,"Val Kilmer, Tommy Lee Jones, Jim Carrey","Action, Adventure",5.4
15,Clueless,1995,97,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy","Comedy, Romance",6.9
16,Ace Ventura: When Nature Calls,1995,90,Steve Oedekerk,"Jim Carrey, Ian McNeice, Simon Callow","Adventure, Comedy, Crime",6.4
17,Waterworld,1995,135,Kevin Reynolds,"Kevin Costner, Jeanne Tripplehorn, Dennis Hopper","Action, Adventure, Sci-Fi",6.3
18,La haine,1995,98,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui","Crime, Drama",8.1
19,Pocahontas,1995,81,"Mike Gabriel, Eric Goldberg","Mel Gibson, Linda Hunt, Christian Bale","Animation, Adventure, Drama",6.7
20,Desperado,1995,104,Robert Rodriguez,"Antonio Banderas, Salma Hayek, Joaquim de Almeida","Action, Crime, Drama",7.1
21,Ghost in the Shell,1995,83,Mamoru Oshii,"Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka","Animation, Action, Crime",7.9
22,Billy Madison,1995,89,Tamra Davis,"Adam Sandler, Darren McGavin, Bridgette Wilson-Sampras",Comedy,6.4
23,Casper,1995,100,Brad Silberling,"Bill Pullman, Christina Ricci, Cathy Moriarty","Comedy, Family, Fantasy",6.2
24,Outbreak,1995,127,Wolfgang Petersen,"Dustin Hoffman, Rene Russo, Morgan Freeman","Action, Drama, Thriller",6.6
25,Leaving Las Vegas,1995,111,Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands","Drama, Romance",7.5
26,Babe,1995,91,Chris Noonan,"James Cromwell, Magda Szubanski, Christine Cavanaugh","Comedy, Drama, Family",6.9
27,Mallrats,1995,94,Kevin Smith,"Shannen Doherty, Jeremy London, Jason Lee","Comedy, Romance",7.0
