ID,Name,Year,Duration,Directors,Actors,Genres,Rating
1,The Lord of the Rings: The Fellowship of the Ring,2001,178.0,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom","Adventure, Drama, Fantasy",8.9
2,"Monsters, Inc.",2001,92.0,"Pete Docter, David Silverman, Lee Unkrich","Billy Crystal, John Goodman, Mary Gibbs","Animation, Adventure, Comedy",8.1
3,A Beautiful Mind,2001,135.0,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly","Biography, Drama, Mystery",8.2
4,Spirited Away,2001,124.0,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino","Animation, Adventure, Family",8.6
5,Harry Potter and the Sorcerer's Stone,2001,152.0,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson","Adventure, Family, Fantasy",7.7
6,Donnie Darko,2001,113.0,Richard Kelly,"Jake Gyllenhaal, Jena Malone, Mary McDonnell","Drama, Mystery, Sci-Fi",8.0
7,Amélie,2001,122.0,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus","Comedy, Romance",8.3
8,Shrek,2001,90.0,"Andrew Adamson, Vicky Jenson","Mike Myers, Eddie Murphy, Cameron Diaz","Animation, Adventure, Comedy",7.9
9,Ocean's Eleven,2001,116.0,Steven Soderbergh,"George Clooney, Brad Pitt, Julia Roberts","Crime, Thriller",7.7
10,Training Day,2001,122.0,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn","Crime, Drama, Thriller",7.8
11,Black Hawk Down,2001,144.0,Ridley Scott,"Josh Hartnett, Ewan McGregor, Tom Sizemore","Action, Drama, History",7.7
12,The Fast and the Furious,2001,106.0,Rob Cohen,"Vin Diesel, Paul Walker, Michelle Rodriguez","Action, Crime, Thriller",6.8
13,The Others,2001,104.0,Alejandro Amenábar,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan","Horror, Mystery, Thriller",7.6
14,Mulholland Drive,2001,147.0,David Lynch,"Naomi Watts, Laura Harring, Justin Theroux","Drama, Mystery, Thriller",7.9
15,Pearl Harbor,2001,183.0,Michael Bay,"Ben Affleck, Kate Beckinsale, Josh Hartnett","Action, Drama, Romance",6.3
16,The Mummy Returns,2001,130.0,Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah","Action, Adventure, Fantasy",6.4
17,Jurassic Park III,2001,92.0,Joe Johnston,"Sam Neill, William H. Macy, Téa Leoni","Action, Adventure, Sci-Fi",5.9
18,A.I. Artificial Intelligence,2001,146.0,Steven Spielberg,"Haley Joel Osment, Jude Law, Frances O'Connor","Adventure, Drama, Sci-Fi",7.2
19,The Royal Tenenbaums,2001,110.0,Wes Anderson,"Gene Hackman, Gwyneth Paltrow, Anjelica Huston","Comedy, Drama",7.6
20,Moulin Rouge!,2001,127.0,Baz Luhrmann,"Nicole Kidman, Ewan McGregor, John Leguizamo","Drama, Musical, Romance",7.6
21,Zoolander,2001,90.0,Ben Stiller,"Ben Stiller, Owen Wilson, Christine Taylor",Comedy,6.5
22,Hannibal,2001,131.0,Ridley Scott,"Anthony Hopkins, Julianne Moore, Gary Oldman","Crime, Drama, Thriller",6.8
23,Vanilla Sky,2001,136.0,Cameron Crowe,"Tom Cruise, Penélope Cruz, Cameron Diaz","Fantasy, Mystery, Romance",6.9
24,Enemy at the Gates,2001,131.0,Jean-Jacques Annaud,"Jude Law, Ed Harris, Joseph Fiennes","Action, Drama, War",7.5
25,Blow,2001,124.0,Ted Demme,"Johnny Depp, Penélope Cruz, Franka Potente","Biography, Crime, Drama",7.5
26,American Pie 2,2001,108.0,J.B. Rogers,"Jason Biggs, Seann William Scott, Shannon Elizabeth",Comedy,6.4
27,Bridget Jones's Diary,2001,97.0,Sharon Maguire,"Renée Zellweger, Colin Firth, Hugh Grant","Comedy, Drama, Romance",6.8
28,Legally Blonde,2001,96.0,Robert Luketic,"Reese Witherspoon, Luke Wilson, Selma Blair","Comedy, Romance",6.5
29,Rush Hour 2,2001,90.0,Brett Ratner,"Jackie Chan, Chris Tucker, John Lone","Action, Comedy, Crime",6.7
30,Planet of the Apes,2001,120.0,Tim Burton,"Mark Wahlberg, Helena Bonham Carter, Tim Roth","Action, Adventure, Sci-Fi",5.7
31,Lara Croft: Tomb Raider,2001,100.0,Simon West,"Angelina Jolie, Jon Voight, Iain Glen","Action, Adventure, Fantasy",5.8
32,A Knight's Tale,2001,132.0,Brian Helgeland,"Heath Ledger, Mark Addy, Rufus Sewell","Action, Adventure, Drama",7.0
33,Swordfish,2001,99.0,Dominic Sena,"John Travolta, Hugh Jackman, Halle Berry","Action, Crime, Thriller",6.5
34,K-PAX,2001,120.0,Iain Softley,"Kevin Spacey, Jeff Bridges, Mary McCormack","Drama, Mystery, Sci-Fi",7.4
35,Scary Movie 2,2001,83.0,Keenen Ivory Wayans,"Anna Faris, Marlon Wayans, Antony Acker","Comedy, Horror",5.4
36,The Princess Diaries,2001,115.0,Garry Marshall,"Julie Andrews, Anne Hathaway, Hector Elizondo","Comedy, Family, Romance",6.4
37,Spy Game,2001,126.0,Tony Scott,"Robert Redford, Brad Pitt, Catherine McCormack","Action, Crime, Thriller",7.1
38,From Hell,2001,122.0,"Albert Hughes, Allen Hughes","Johnny Depp, Heather Graham, Ian Holm","Crime, Horror, Mystery",6.7
39,Jay and Silent Bob Strike Back,2001,104.0,Kevin Smith,"Jason Mewes, Kevin Smith, Amy Noble",Comedy,6.8
40,I Am Sam,2001,132.0,Jessie Nelson,"Sean Penn, Michelle Pfeiffer, Dakota Fanning",Drama,7.6
41,Jeepers Creepers,2001,90.0,Victor Salva,"Gina Philips, Justin Long, Jonathan Breck","Horror, Mystery",6.2
42,Shallow Hal,2001,114.0,"Bobby Farrelly, Peter Farrelly","Jack Black, Gwyneth Paltrow, Jason Alexander","Comedy, Drama, Fantasy",6.0
43,Atlantis: The Lost Empire,2001,95.0,"Gary Trousdale, Kirk Wise","Michael J. Fox, Jim Varney, Corey Burton","Animation, Action, Adventure",6.9
44,The Score,2001,124.0,Frank Oz,"Robert De Niro, Edward Norton, Marlon Brando","Crime, Drama, Thriller",6.8
45,Evolution,2001,101.0,Ivan Reitman,"David Duchovny, Orlando Jones, Julianne Moore","Comedy, Sci-Fi",6.1
46,Y tu mamá también,2001,106.0,Alfonso Cuarón,"Maribel Verdú, Gael García Bernal, Daniel Giménez Cacho",Drama,7.7
47,Spy Kids,2001,88.0,Robert Rodriguez,"Alexa PenaVega, Daryl Sabara, Antonio Banderas","Action, Adventure, Comedy",5.6
48,Ghost World,2001,111.0,Terry Zwigoff,"Steve Buscemi, Thora Birch, Scarlett Johansson","Comedy, Drama",7.3
49,Rat Race,2001,112.0,Jerry Zucker,"Breckin Meyer, Amy Smart, Whoopi Goldberg","Action, Adventure, Comedy",6.5
50,Serendipity,2001,90.0,Peter Chelsom,"John Cusack, Kate Beckinsale, Jeremy Piven","Comedy, Romance",6.8
51,Lagaan: Once Upon a Time in India,2001,224.0,Ashutosh Gowariker,"Aamir Khan, Raghubir Yadav, Gracy Singh","Drama, Musical, Sport",8.1
52,Not Another Teen Movie,2001,89.0,Joel Gallen,"Chyler Leigh, Jaime Pressly, Chris Evans",Comedy,5.8
53,The Mexican,2001,123.0,Gore Verbinski,"Brad Pitt, Julia Roberts, James Gandolfini","Adventure, Comedy, Drama",6.1
54,The Man Who Wasn't There,2001,116.0,Joel Coen,"Billy Bob Thornton, Frances McDormand, Michael Badalucco","Crime, Drama",7.5
55,Behind Enemy Lines,2001,106.0,John Moore,"Gene Hackman, Owen Wilson, Gabriel Macht","Action, Drama, Thriller",6.4
56,Super Troopers,2001,100.0,Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan, André Vippolis","Comedy, Crime, Mystery",7.0
57,Ali,2001,157.0,Michael Mann,"Will Smith, Jamie Foxx, Jon Voight","Biography, Drama, Sport",6.7
58,Along Came a Spider,2001,104.0,Lee Tamahori,"Morgan Freeman, Michael Wincott, Monica Potter","Crime, Drama, Mystery",6.4
59,Gosford Park,2001,137.0,Robert Altman,"Maggie Smith, Ryan Phillippe, Michael Gambon","Comedy, Drama, Mystery",7.2
60,The One,2001,87.0,James Wong,"Jet Li, Carla Gugino, Delroy Lindo","Action, Sci-Fi, Thriller",5.9
61,The Experiment,2001,120.0,Oliver Hirschbiegel,"Moritz Bleibtreu, Christian Berkel, Oliver Stokowski","Drama, Thriller",7.7
62,Thir13en Ghosts,2001,91.0,Steve Beck,"Tony Shalhoub, Shannon Elizabeth, Embeth Davidtz","Fantasy, Horror",5.6
63,Sweet November,2001,119.0,Pat O'Connor,"Keanu Reeves, Charlize Theron, Jason Isaacs","Drama, Romance",6.7
64,Monster's Ball,2001,111.0,Marc Forster,"Billy Bob Thornton, Halle Berry, Taylor Simpson","Drama, Romance",7.0
65,Frailty,2001,100.0,Bill Paxton,"Bill Paxton, Matthew McConaughey, Powers Boothe","Crime, Drama, Thriller",7.2
66,Shaolin Soccer,2001,87.0,Stephen Chow,"Stephen Chow, Wei Zhao, Yat-Fei Wong","Action, Comedy, Fantasy",7.3
67,Kate & Leopold,2001,118.0,James Mangold,"Meg Ryan, Hugh Jackman, Liev Schreiber","Comedy, Fantasy, Romance",6.4
68,The Wedding Planner,2001,103.0,Adam Shankman,"Jennifer Lopez, Matthew McConaughey, Bridgette Wilson-Sampras","Comedy, Romance",5.4
69,The Last Castle,2001,131.0,Rod Lurie,"Robert Redford, James Gandolfini, Mark Ruffalo","Action, Drama, Thriller",6.9
70,Final Fantasy: The Spirits Within,2001,106.0,"Hironobu Sakaguchi, Motonori Sakakibara","Alec Baldwin, Steve Buscemi, Ming-Na Wen","Animation, Action, Adventure",6.4
71,Joy Ride,2001,97.0,John Dahl,"Steve Zahn, Paul Walker, Leelee Sobieski","Drama, Mystery, Thriller",6.6
72,Dil Chahta Hai,2001,183.0,Farhan Akhtar,"Aamir Khan, Saif Ali Khan, Akshaye Khanna","Comedy, Drama, Romance",8.0
73,The Piano Teacher,2001,131.0,Michael Haneke,"Isabelle Huppert, Annie Girardot, Benoît Magimel","Drama, Music",7.5
74,Brotherhood of the Wolf,2001,142.0,Christophe Gans,"Samuel Le Bihan, Mark Dacascos, Jérémie Renier","Action, Adventure, Drama",7.0
75,The Pledge,2001,124.0,Sean Penn,"Jack Nicholson, Benicio Del Toro, Patricia Clarkson","Crime, Drama, Mystery",6.7
76,The Devil's Backbone,2001,106.0,Guillermo del Toro,"Marisa Paredes, Eduardo Noriega, Federico Luppi","Drama, Horror, Thriller",7.4
77,Bandits,2001,123.0,Barry Levinson,"Bruce Willis, Billy Bob Thornton, Cate Blanchett","Action, Comedy, Crime",6.5
78,Waking Life,2001,99.0,Richard Linklater,"Ethan Hawke, Trevor Jack Brooks, Lorelei Linklater","Animation, Drama, Fantasy",7.6
79,Kiss of the Dragon,2001,98.0,Chris Nahon,"Jet Li, Bridget Fonda, Tchéky Karyo","Action, Crime, Thriller",6.6
80,Save the Last Dance,2001,112.0,Thomas Carter,"Julia Stiles, Sean Patrick Thomas, Kerry Washington","Drama, Music, Romance",6.2
81,The Animal,2001,84.0,Luke Greenfield,"Rob Schneider, Colleen Haskell, John C. McGinley","Comedy, Sci-Fi",4.8
82,Session 9,2001,97.0,Brad Anderson,"David Caruso, Stephen Gevedon, Paul Guilfoyle","Drama, Horror, Mystery",6.4
83,Jason X,2001,92.0,James Isaac,"Kane Hodder, Lexa Doig, Jeff Geddis","Action, Horror, Sci-Fi",4.5
