ID,Name,Year,Duration,Directors,Actors,Genres,Rating
1,Reservoir Dogs,1992,99,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen","Crime, Thriller",8.3
2,Aladdin,1992,90,"Ron Clements, John Musker","Scott Weinger, Robin Williams, Linda Larkin","Animation, Adventure, Comedy",8.0
3,Unforgiven,1992,130,Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman","Drama, Western",8.2
4,Home Alone 2: Lost in New York,1992,120,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern","Adventure, Comedy, Crime",6.9
5,Scent of a Woman,1992,156,Martin Brest,"Al Pacino, Chris O'Donnell, James Rebhorn",Drama,8.0
6,Alien³,1992,114,David Fincher,"Sigourney Weaver, Charles S. Dutton, Charles Dance","Action, Horror, Sci-Fi",6.4
7,Batman Returns,1992,126,Tim Burton,"Michael Keaton, Danny DeVito, Michelle Pfeiffer","Action, Crime, Fantasy",7.1
8,A Few Good Men,1992,138,Rob Reiner,"Tom Cruise, Jack Nicholson, Demi Moore","Drama, Thriller",7.7
9,Dracula,1992,128,Francis Ford Coppola,"Gary Oldman, Winona Ryder, Anthony Hopkins","Fantasy, Horror, Romance",7.4
10,Basic Instinct,1992,127,Paul Verhoeven,"Michael Douglas, Sharon Stone, George Dzundza","Drama, Mystery, Thriller",7.1
11,Army of Darkness,1992,81,Sam Raimi,"Bruce Campbell, Embeth Davidtz, Marcus Gilbert","Comedy, Horror",7.4
12,The Last of the Mohicans,1992,112,Michael Mann,"Daniel Day-Lewis, Madeleine Stowe, Russell Means","Action, Adventure, Drama",7.6
13,Lethal Weapon 3,1992,118,Richard Donner,"Mel Gibson, Danny Glover, Joe Pesci","Action, Crime, Thriller",6.7
14,Wayne's World,1992,94,Penelope Spheeris,"Mike Myers, Dana Carvey, Rob Lowe","Comedy, Music",7.0
15,The Bodyguard,1992,129,Mick Jackson,"Kevin Costner, Whitney Houston, Gary Kemp","Drama, Music, Romance",6.4
16,My Cousin Vinny,1992,120,Jonathan Lynn,"Joe Pesci, Marisa Tomei, Ralph Macchio","Comedy, Crime",7.6
17,Death Becomes Her,1992,104,Robert Zemeckis,"Meryl Streep, Bruce Willis, Goldie Hawn","Comedy, Fantasy, Horror",6.7
18,A League of Their Own,1992,128,Penny Marshall,"Tom Hanks, Geena Davis, Lori Petty","Comedy, Drama, Sport",7.4
19,Patriot Games,1992,117,Phillip Noyce,"Harrison Ford, Sean Bean, Anne Archer","Action, Thriller",6.8
20,Glengarry Glen Ross,1992,100,James Foley,"Al Pacino, Jack Lemmon, Alec Baldwin","Crime, Drama, Mystery",7.7
