ID,Name,Year,Duration,Directors,Actors,Genres,Rating
1,Fargo,1996,98,"Joel Coen, Ethan Coen","William H. Macy, Frances McDormand, Steve Buscemi","Crime, Drama, Thriller",8.1
2,Trainspotting,1996,93,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller",Drama,8.1
3,Independence Day,1996,145,Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum","Action, Adventure, Sci-Fi",7.0
4,Mission: Impossible,1996,110,Brian De Palma,"Tom Cruise, Jon Voight, Emmanuelle Béart","Action, Adventure, Thriller",7.2
5,Scream,1996,111,Wes Craven,"Neve Campbell, Courteney Cox, David Arquette","Horror, Mystery",7.4
6,The Rock,1996,136,Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris","Action, Adventure, Thriller",7.4
7,From Dusk Till Dawn,1996,108,Robert Rodriguez,"Harvey Keitel, George Clooney, Juliette Lewis","Action, Crime, Horror",7.2
8,Jerry Maguire,1996,139,Cameron Crowe,"Tom Cruise, Cuba Gooding Jr., Renée Zellweger","Comedy, Drama, Romance",7.3
9,Happy Gilmore,1996,92,Dennis Dugan,"Adam Sandler, Christopher McDonald, Julie Bowen","Comedy, Sport",7.0
10,Primal Fear,1996,129,Gregory Hoblit,"Richard Gere, Laura Linney, Edward Norton","Crime, Drama, Mystery",7.7
11,Mars Attacks!,1996,106,Tim Burton,"Jack Nicholson, Pierce Brosnan, Sarah Jessica Parker","Comedy, Sci-Fi",6.4
12,Romeo + Juliet,1996,120,Baz Luhrmann,"Leonardo DiCaprio, Claire Danes, John Leguizamo","Drama, Romance",6.7
13,Sleepers,1996,147,Barry Levinson,"Robert De Niro, Kevin Bacon, Brad Pitt","Crime, Drama, Thriller",7.5
14,Twister,1996,113,Jan de Bont,"Helen Hunt, Bill Paxton, Jami Gertz","Action, Adventure, Thriller",6.6
15,Space Jam,1996,88,Joe Pytka,"Michael Jordan, Wayne Knight, Theresa Randle","Animation, Adventure, Comedy",6.5
16,The English Patient,1996,162,Anthony Minghella,"Ralph Fiennes, Juliette Binoche, Willem Dafoe","Drama, Romance, War",7.4
17,A Time to Kill,1996,149,Joel Schumacher,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson","Crime, Drama, Thriller",7.5
18,Matilda,1996,98,Danny DeVito,"Danny DeVito, Rhea Perlman, Mara Wilson","Comedy, Family, Fantasy",7.0
19,The Cable Guy,1996,96,Ben Stiller,"Jim Carrey, Matthew Broderick, Leslie Mann","Comedy, Drama, Thriller",6.1
20,The Hunchback of Notre Dame,1996,91,"Gary Trousdale, Kirk Wise","Demi Moore, Jason Alexander, Mary Kay Bergman","Animation, Drama, Family",7.0
21,Ransom,1996,121,Ron Howard,"Mel Gibson, Gary Sinise, Rene Russo","Action, Crime, Drama",6.7
22,Star Trek: First Contact,1996,111,Jonathan Frakes,"Patrick Stewart, Jonathan Frakes, Brent Spiner","Action, Adventure, Drama",7.6
